pid	author	authorid	useip	hit_word	context
1738609		\N	\N	X	...tp://www.rootkit.com/index.php
1744206		\N	\N	X	...e>/WEB-INF/struts-config.xml</param-value>
1749110		\N	\N	X	...oft\Red Spider\REDAgent.exe 到进程跟目录下，把REDAgent.exe名字...
1755706		\N	\N	X	...1、XXX来签到啦！18734903493来签到
1771265		\N	\N	老大	...Exception是异常帮的老大，RuntimeException是个小堂主，专搞...
1771841		\N	\N	X	...1、fb来签到啦！
1468371		\N	\N	X	...gb(0, 153, 204)][size=14px]slot machine[/size][/col...
1504581		\N	\N	X	...1、XXX来签到啦！   2、对长江沉船事件有啥看法呢？...
1497968		\N	\N	X	...y:Error是不能恢复的严重错误，就是杀人了。Exception就是实际的错误，就是小错误随地吐痰啊...
1501622		\N	\N	X	...1、tyxo来签到啦！   2、对长江沉船事件有啥看法呢？太...
1502169		\N	\N	X	...slookup-------IP地址侦测器
1526307		\N	\N	X	...运行完即可。（完成这一步vmware才能识别OS X）。
1534001		\N	\N	X	...弱智xml问题 <?xml version="1.0"...
1556365		\N	\N	矮矬	...体，鱼龙混杂，有高飞天上的白富美，也有低到尘埃里的矮矬穷，总之虽一类而九流具足。
1596372		\N	\N	X	...08350][color=#999999]ringxxx 发表于 2015-7-9 00:57[/co...
1608159		\N	\N	X	...08453][color=#999999]ringxxx 发表于 2015-7-12 15:15[/c...
1608468		\N	\N	X	...12194][color=#999999]ringxxx 发表于 2015-7-12 15:12[/c...
1613127		\N	\N	X	...荐信_XXX_153******75
1614578		\N	\N	X	...13614][color=#999999]ringxxx 发表于 2015-7-16 01:17[/c...
1614843		\N	\N	X	...14032][color=#999999]ringxxx 发表于 2015-7-16 01:09[/c...
1634771		\N	\N	大人	...刷了半天不翻页，看来广大人民群众都被和谐了。。...
1644084		\N	\N	X	...X的镜像文件，再通过VMWare安装Mac OS X系统即可。
1730093		\N	\N	X	...没钱的穷X，基础班，捐5块！这就是个人情况！...
1755852		\N	\N	压榨	...包装还是必要的。很多公司都压榨入职人员劳动力。包装只要不过份，符合自己的情况即可...
1769572		\N	\N	X	...去的最多的是 ixxx...
1789361		\N	\N	X	...<executions>
1795186		\N	\N	X	...44)][font=微软雅黑]http://ooxx.me/intellij-idea-surroun...
1801407		\N	\N	压榨	...搞定的时候，就没人逼你加班了，不然哪个行业都会尽量压榨劳力的。但是请注意，当你已经不怕公司辞你，而是公司...
1801979		\N	\N	C匪	...d=236122][color=#999999]YC匪帮 发表于 2015-9-8 16:41[/col...
1805145		\N	\N	C匪	...1、YC匪帮来签到啦！
1805670		\N	\N	C匪	...[quote][color=#999999]YC匪帮 发表于 2015-9-9 16:48[/col...
1805760		\N	\N	C匪	...d=236595][color=#999999]YC匪帮 发表于 2015-9-9 17:04[/col...
1812699		\N	\N	C匪	...1、YC匪帮来签到啦！
1816029		\N	\N	C匪	...1、YC匪帮来签到啦！
1819053		\N	\N	C匪	...1、YC匪帮来签到啦！
1825796		\N	\N	C匪	...1、YC匪帮来签到啦！
1829035		\N	\N	C匪	...1、YC匪帮来签到啦！
1839135		\N	\N	C匪	...1、YC匪帮来签到啦！
1839401		\N	\N	C匪	...d=240384][color=#999999]YC匪帮 发表于 2015-9-19 10:29[/co...
1839585		\N	\N	X	...，作为程序猿可得小心啦，分享一下！ iOS开发工具Xcode有木马！！滴滴网易音乐等均中招！
1840187		\N	\N	X	...欢动漫+胖次在哪里~ [ID／昵称]:ZhengJX
1843543		\N	\N	X	...的 你把 XXX 怎么怎么或者你用 AA 在 XXX上怎么怎么了,一般情况下 这里面的对象 是 XXX...
1846531		\N	\N	C匪	...1、YC匪帮来签到啦！
1848936		\N	\N	那人	...节，大喊“不要跳，生活还很美好，你还有亲人！”然后那人一低头看见那么多人，明显愣了一下，跳到屋里，探出半...
1849132		\N	\N	C匪	...1、YC匪帮来签到啦！
1853137		\N	\N	C匪	...1、YC匪帮来签到啦！
1860120		\N	\N	C匪	...1、YC匪帮来签到啦！
1863554		\N	\N	C匪	...1、YC匪帮来签到啦！
1865683		\N	\N	矮矬	...哈！啊哈哈 ...[/quote]  其实暂时是穷矮矬拉,必过希望半年后能有新的变化吧...
1870855		\N	\N	C匪	...1、YC匪帮来签到啦！
1874139		\N	\N	压榨	...卵，社会压力大，谁都不容易，谁都需要钱，但是，这样压榨欺负我们远到而来的他乡学子，吃准我们人生地不熟，无...
1877748		\N	\N	C匪	...1、YC匪帮来签到啦！
1881114		\N	\N	C匪	...1、YC匪帮来签到啦！
1881814		\N	\N	X	...xu'来钱到了.昨天任务已完成!!...
1884016		\N	\N	C匪	...1、YC匪帮来签到啦！
1886345		\N	\N	C匪	...1、YC匪帮来签到啦！
1889074		\N	\N	X	...1、XXX来签到啦！ jc来签到啦！2、走黑马流程到哪里...
1890516		\N	\N	C匪	...1、YC匪帮来签到啦！
1890806		\N	\N	X	...下去，沉溺于此。它们让你觉得自己还活着，它们比sex更好。
1893182		\N	\N	C匪	...1、YC匪帮来签到啦！
1896293		\N	\N	C匪	...1、YC匪帮来签到啦！
1898179		\N	\N	压榨	...。在国内不行。为什么？没有培训，没有上升机会。你被压榨完后就被扔掉。哪个有志向的人甘于这样的命运？[/f...
2302957		\N	\N	X	...欲练神功必须自X...
2429786		\N	\N	X	...2个黑木耳已送上!!!  充气娃娃已发货!顺风单号xxxxxxxxxxx!  记得查收!  货到付款9...
2461269		\N	\N	X	...侵之有史以来最酷的Windows后门sethc.exe [align=left][b][font=宋体...
2463535		\N	\N	X	...烤烧烤，还有刺激的抽纸条游戏，那谁还抽到纸条大喊“XXX病XX”。大家玩得不亦乐乎啊！这离不开陈文老师...
2469722		\N	\N	X	...我们班主任是中华人民共和国xxx&&&&&&&&&&%%%%%%%%%%%%%...
2505002		\N	\N	塔	...姓贺的,姓刘的,姓赵的,姓李的,姓高的,我塔 码的 曾经 喜欢过你们!!!!!!!!!...
2542427		\N	\N	X	...luoxiaochuan来签到啦！
2586924		\N	\N	X	...=xx,sex=’x’,address=”xxxxx”],
2594010		\N	\N	X	...儿，都图轻松，都图不动脑子，只能把自己慢慢腐化成傻X。那么年轻，正是啃硬骨头的时候，天天捡那些退休老人...
2600876		\N	\N	X	...楼上是傻X...
2610460		\N	\N	xi	...想说:「[color=red]...     w xiang   ni[/color]」.[/color...
2625163		\N	\N	X	...库，表名为student，用户名密码为:root,xiaochi,Ip地址:127.0.0.1,...
2360630		\N	\N	X	...都是cxy，屌丝...
2367074		\N	\N	X	...、宪法顶个球！中国的法律都是.txt文件，不是.exe文件。
2409224		\N	\N	X	...xie de bu cuo ,shu ru fa g...
2437746		\N	\N	X	...或者说这个我也不知道,要不说这个学了也没用,我的了X了,我自己能学还用你教啊,不要意思,又忍不住想骂丫...
2515876		\N	\N	X	...成噱头，义正言辞地去宣传用盗版是白富美，买正版是傻X。其实iOS应用安全破解软件的问题，既不起源于中国...
2533591		\N	\N	X	...r=#ff0000]他[/color]：恩，对，就XXX和XX、XXX……这些界面[/size][/f...
2556116		\N	\N	X	...没想到有超过一半的人不接受，我了个XX...
2583321		\N	\N	X	...付费,不知你们有没有想问的 如题,活着加我QQ/WX :15921449923...
2596083		\N	\N	X	...牛XXXXXXX...
2596364		\N	\N	X	...[/size][/color] [size=12px][color=rgb(51,51,51)]fal...
2614632		\N	\N	X	...多,实话说不难,悲催的是,前一天晚上睡得太晚,还傻x的没预习,结果就呵呵哒了!技术指导徐锐老师经常对我...
2620935		\N	\N	X	...mgray]我今天最想说:「[color=red]xingqinghaohao [/color]」.[...
2622118		\N	\N	X	...ign][align=left][size=12px]我是一个不安于现状的人，我之前在公安工作，但是我...
2362373		\N	\N	X	...+1kanyikan,xingbuxing...
2514054		\N	\N	X	...[YX报道]+爱好自由+ 改变 [i=s] 本帖最后由...
2333515		\N	\N	X	...样,搂的那么慢.心情很烦躁!真的好暴躁,只想大喊:x!可是想想那些我想保护的人那些需要我的人,我只能坚...
2358220		\N	\N	X	...quote][color=#999999]zhaoxiaoting 发表于 2016-3-25 22:...
2383801		\N	\N	X	...看不起美工。周末了，美工带着妹子出去约会了，一群SX程序员还在加班。。。...
2428346		\N	\N	X	....4破解版分享求金币打赏 [i=s] 本帖最后由 xiaosongmeme 于 2016-4-19 1...
2440755		\N	\N	X	...][align=left][size=3]W：（我x，这么个简单的东西花了三个月，真是冤大头啊）咱们这...
2440759		\N	\N	X	...，其他的都是xxx（记不起来了）但是，个别的是一个xxx。这个你怎么做？[/size][/align]...
2443248		\N	\N	X	...全机密与解决方案.pdf 高清下载
2451843		\N	\N	矮矬	...体，鱼龙混杂，有高飞天上的白富美，也有低到尘埃里的矮矬穷，总之虽一类而九流具足。
2458406		\N	\N	X	...ons, Arches,Ammunition, Axes…[/align][align=left][b...
2465104		\N	\N	X	...过最励志的一首歌是什么？i just had sex  3、你看过最励志的一部电影是什么？死神来了4、...
2493446		\N	\N	X	...敲几行代码，朝鲜的大浦洞导弹就要射向白宫的感觉。牛X程序猿的桌面必须乱糟糟一大片，开发文档，代码，图片...
2503483		\N	\N	X	...feichangganxie,谢天谢地谢亚龙...
2537419		\N	\N	X	...x]1）首先我们二话不说,先访问一下www.xxxxx.com这个网址,目的是什么？[/size][/...
2546982		\N	\N	X	...r]放个毒吧
2548475		\N	\N	矮矬	...[矮矬穷报道]+为了技术分+实现梦想 [i=s] 本帖最...
2570581		\N	\N	X	...rgb(85, 85, 85)][size=18px]4、将libReveal.dylib上传到设备的...
2575714		\N	\N	X	...呢，想约我的只能通过QQ微信满足啦（想要号的请通过xx渠道）！我有两个缺点，一是太可爱，二是普通话不是...
2580700		\N	\N	老大	...老大我追随你来了,要罩着我啊...
2596707		\N	\N	X	...<路途遥远,勿忘初心>,我也发了一篇,被XXX删了......
2655024		\N	\N	老大	...真听啊，首先当然是我们的讲师---金老大，哈哈，金老大可是位经验丰富的老师，有您为我们保驾护航，在Jav...
2661008		\N	\N	X	...下面每一个读代码的程序员都会觉得上一个写代码的是傻X。[/size][/p][align=center...
2671685		\N	\N	X	...thread-87953-1-1.html?16bxh][color=#0000ff]秘密：程序猿，这...
2671687		\N	\N	X	...方法的问题 我看的是毕老师的教程，看到毕老师写的exec("notepad.exe SystemDem...
2673156		\N	\N	X	...X翻一切的泰迪么...
2675427		\N	\N	X	...着他说的最猥琐的一句话是大MM月小dd日 还时常用xxx ooo来赋值变量。。。...
2683648		\N	\N	X	...XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXx...
2707730		\N	\N	天朝	...这么多的好朋友都被骗了，这真是太吓人了，真是不知道天朝的治安是否真的这么不好，当然也能感受到很多朋友浓浓...
2711237		\N	\N	X	...载积分才行。地址是：http://www.javaxxz.com/thread-259330-1-1....
2717316		\N	\N	X	...ay]我今天最想说:「[color=red]xuexi   butingde xuexi[/color...
2718427		\N	\N	X	...=325548][color=#999999]Toxicant 发表于 2016-9-12 23:19...
2723016		\N	\N	xi	...gray]我今天最想说:「[color=red]黄xiao宇是基佬[/color]」.[/color][...
2733180		\N	\N	X	...]密码：[/font][font=Calibri]xn3f[/font][/hide][/align]...
2749038		\N	\N	xi	...XIWANGHAINENGKAN...
2761059		\N	\N	X	...thread-329827-1-1.html?srx][b][size=4][持续更新]最全面的Jav...
2761062		\N	\N	X	...thread-329827-1-1.html?srx][size=4][b][持续更新]最全面的Jav...
2761073		\N	\N	X	...thread-329827-1-1.html?srx][b][size=4][持续更新]最全面的Jav...
2761141		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2761148		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2761164		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2761177		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2761194		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2761244		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2762176		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2762184		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2762191		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2762192		\N	\N	X	...thread-329827-1-1.html?srx][b][size=5][持续更新]最全面的Jav...
2762207		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2762212		\N	\N	X	...thread-329827-1-1.html?srx][size=5][b][持续更新]最全面的Jav...
2770987		\N	\N	X	...xiexielaoban...
2779429		\N	\N	X	...mgray]我今天最想说:「[color=red]xiwang  kyi  nuli   wo ya...
2808283		\N	\N	X	...连接后，呵呵，就可以上传文件了：copy nc.exe \192.168.0.7\admin$，表示把...
2830007		\N	\N	X	...xiexiefeniang...
2833100		\N	\N	X	...mgray]我今天最想说:「[color=red]xxooxxooxxcvvxc想[/color]」....
2835183		\N	\N	X	...y]我今天最想说:「[color=red]xiiixxx  [/color]」.[/color][/s...
2848676		\N	\N	X	...xuewuzhijing shi pin ne...
2955712		\N	\N	X	...哈哈，感谢xxxxxxxxxxxxxxxxxxxxxxxxxxx...
2986177		\N	\N	X	...！她直接给我拨了电话：ada，我不会开这种玩笑的，xy真的死了！是被谋杀的！被她男朋友用枕头活活给闷死...
3020188		\N	\N	X	...cho off taskkill /f /im explorer.exeCD /d %userprof...
3044434		\N	\N	X	...02)][font=&quot][size=16px]我忍不住骂了句：”我日啊！”[/size][/f...
3048668		\N	\N	X	...傻X,你个碧池，给不给LZ连接？...
3074787		\N	\N	X	...发展起来的一个邪教。 [i=s] 本帖最后由 scx567888 于 2022-6-5 22:43 编...
3083902		\N	\N	X	...我今天最想说:「[color=red]哦你就阿婆傻X[/color]」.[/color][/size]...
3089357		\N	\N	X	...我今天最想说:「[color=red]哦你就阿婆傻X[/color]」.[/color][/size]...
3090219		\N	\N	X	...[align=left]  联系电话：xxxxxxxxxx...
3091859		\N	\N	X	...咯哦哦XXOO摸摸摸www无图...
3092300		\N	\N	X	...试试xxxxxxxxxxxxxxxxx...
3101238		\N	\N	X	...我今天最想说:「[color=red]哦你就阿婆傻X[/color]」.[/color][/size]...
2753469		\N	\N	X	...][font=simsun]12.浮躁的人容易问：XX有钱途吗；——建议你去抢银行； [/font][...
2762305		\N	\N	X	...ub.com/visionmedia/dox]Dox[/url][/color]/[color=#33...
2768798		\N	\N	X	...意思是快网速可以看苍老师的AVI？慢网速就只能看TXT了！...
2769274		\N	\N	X	...e=4]密码: [hide][/size][/b]xzkk[/size][b][align=cente...
2783746		\N	\N	X	...、宪法顶个球！中国的法律都是.txt文件，不是.exe文件。
2807362		\N	\N	X	...$连接后，呛牵涂梢陨洗募耍篶opy nc.exe 92.168.0.7admin$，表示把本地目...
2883619		\N	\N	X	...magnet:?xt=urn:btih:0335737B136C3C...
2887890		\N	\N	X	...[font=微软雅黑][size=2] 密码: xxj3[/size][/font][font=微软...
2897089		\N	\N	X	...333][font=arial][size=13px](Crack) [/size][/font][/...
2897093		\N	\N	X	...or=#ff0000][b]密码：[hide]agx6
2926130		\N	\N	叉	...这个那个傻叉写的感觉很糟糕……...
2941442		\N	\N	X	...班里有人说没有代码我不服，我记得李天成老师说的最装X的一句话就是，明天我就让你们服。[/p][p=30...
2958700		\N	\N	X	..."password"  name="pwd" maxlength="6/>
2986727		\N	\N	压榨	...者都有,自己选择,但估计公司不会同意,毕竟在中国,压榨你最后一滴血!...
2987078		\N	\N	X	...油壓指壓全套服務外送茶
2987090		\N	\N	X	...油壓指壓全套服務外送茶
2987096		\N	\N	X	...油壓指壓全套服務外送茶
2998438		\N	\N	凳子	...坏货）看我老实就开始欺负我。我忍无可忍了拿起旁边的凳子都往他头上砸，因为当时也没有想那么多就是气。那一刻...
3007333		\N	\N	X	...SGEfv 密码:[/size][hide]8hdx[/hide]...
3028909		\N	\N	X	.../font][url=http://www.xuexila.com/diannao/yingjian/...
3043690		\N	\N	X	...2, left]“我妈去世了，15年的时候，得了XX去世的，我爸为了给我妈看病，把老家房子都卖了，现在...
3045244		\N	\N	X	...l]   [url=http://507.ed2kxiazai.org/][color=snow]ht...
3046238		\N	\N	X	...跪求python教程中linux虚拟机的登陆密码 如图，我已经试了一天了，各种破解...
3047987		\N	\N	X	...l]   [url=http://606.ed2kxiazai.org/][color=snow]ht...
3052076		\N	\N	X	...ay]我今天最想说:「[color=red]xytxw@1819[/color]」.[/color][...
3081548		\N	\N	X	....我心想:"刚交完钱,你再来跟我说还想找人合租,我X".但是我还是去看了房子,感觉外面租的还是要好些,...
3092110		\N	\N	X	...求淘淘商城linux虚拟机的账号密码...
3092112		\N	\N	X	...求入云龙的淘淘商城里虚拟服务器的linux账号密码...
3099540		\N	\N	X	...x还有这些功能，你知道吗？ 给大家分享一些Linux下的渗透测试教程，讲的很详细。本教程由红客联盟学生...
3104055		\N	\N	X	...的人死了，那他就真的死了～
2834067		\N	\N	X	...d=viewthread&tid=335537&extra=][size=5]小知泄密，助你轻松拿of...
2836027		\N	\N	X	...336071][color=#999999]sunxiaobo 发表于 2016-12-14 15:3...
2971669		\N	\N	X	...[td=433][size=3]网络入侵-Linux工具篇[/size][/td][td=202][a...
2762531		\N	\N	X	...【视频】网络入侵-Linux工具篇 [color=#444444][font=...
2799592		\N	\N	X	...d=viewthread&tid=335537&extra=]小知泄密，助你轻松拿offer[/url...
2799623		\N	\N	X	...d=viewthread&tid=335537&extra=]小知泄密，助你轻松拿offer[/url...
2810182		\N	\N	独裁	...能有一个统一的指挥者这样就能获得稳定性。但是，对于独裁和自治间的争斗，从来都没有一个理想的解决方式。 [...
2810791		\N	\N	刁民	...id=332256][color=#999999]刁民 发表于 2016-10-28 08:12[/co...
2819582		\N	\N	X	...orm映射，源文件在src/models/index.js，默认的mysql用户名和密码都是root，...
2821847		\N	\N	X	...img=0,1]http://www.javazixue.com/uploads/allimg/150...
2831389		\N	\N	X	...d=viewthread&tid=335537&extra=][size=5]小知泄密，助你轻松拿of...
2902460		\N	\N	压榨	...，生活很艰难啊，实习生工资少，干活多，这不是明摆着压榨劳动力嘛，我决定不干啦，就这样我失业啦。在我最失意...
2929865		\N	\N	X	...第1重：有时间吗，帮我修个电脑吧！（或者能帮我黑xxx的QQ吗？） 第2重：太好了，你还没回家，帮忙...
